GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Colombia;2842;2799;2717;2643;2738;2780;2960;2983;2975;3143;3177;3151;3238;3287;3404;3418;3459;3452;3396;3519;3535;3592;3655;3650;3749;3777;3868;3893;4021;4162;4325;4484;4731;4952;5161;5208;5382;5544;5953;6200;6373;6441;6405;6421;6518;6613;6887;7158;7371;7519;7752;7776;8014;8052;8366;8643;8664;8804;8701;8194;8414;8415;8488;8683;9005;9286;9759;10278;10489;10511;10777;11332;11636;12054;12447;12761
Comoros;801;801;802;803;803;804;805;805;806;807;807;837;846;862;892;901;915;929;935;967;1026;1013;1079;1278;1342;1308;1416;1530;1494;1425;1425;1453;1452;1522;1525;1575;1523;1522;1504;1583;1636;1640;1686;1712;1730;1719;1703;1687;1689;1621;1595;1473;1561;1569;1451;1467;1413;1434;1416;1407;1391;1517;1513;1505;1495;1498;1499;1472;1440;1431;1426;1427;1435;1450;1459;1472
Congo, Dem. Rep.;1293;1318;1343;1369;1395;1422;1449;1476;1504;1533;1562;1756;1845;1994;2041;2128;2202;2177;2085;2084;2225;1948;2158;2147;2108;2016;2085;1999;2062;2160;2094;2194;2145;2253;2323;2032;1840;1772;1628;1575;1567;1567;1517;1496;1535;1498;1523;1517;1478;1410;1270;1120;963;801;742;724;698;645;622;583;531;506;507;520;539;556;569;588;607;607;632;657;685;724;768;809
Congo, Rep.;1464;1498;1533;1568;1605;1642;1680;1719;1759;1800;1842;1880;1918;1954;1991;2028;2063;2099;2135;2170;2198;2535;2435;2263;2282;2329;2411;2642;2825;3057;3348;3545;3584;4082;3930;3784;3852;3469;3576;3869;4238;4993;5995;6153;6414;6166;5586;5448;5398;5350;5264;5249;5248;5062;4659;4715;4782;4618;4657;4413;4623;4680;4778;4702;4745;4978;5138;4905;5022;5236;5533;5569;5631;5680;5905;6220
Cook Is;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;2626;2896;2518;2477;2180;2414;2633;3050;3141;3186;2948;2933;3179;3542;3449;3709;3472;3633;3936;3929;4110;4123;4221;4427;4495;4749;4953;5094;5324;5518;5723;5933;6287;6597;6772;6725;6898;7305;7465;7607;7537;7190;6508;6505;6820;6683;6851;6984;7036;7253;7333;7337;7816;8196;8378;8495;8357;8603;9095;9610;9564;9465;9548;9972;10212;10629;11371;12079;12219;11914;12322;12694;13162;13427;13713;14132
Cote d'Ivoire;1814;1838;1862;1886;1911;1936;1962;1988;2014;2040;2067;2102;2138;2173;2209;2245;2281;2317;2353;2377;2510;2751;2651;2901;3312;3091;3291;3261;3565;3645;3798;3983;3975;4029;4020;4159;4488;4602;4878;4776;4068;4030;3868;3564;3330;3347;3330;3203;3129;3385;3234;3128;3019;2918;2851;2964;3103;3131;3202;3178;3049;2999;2904;2825;2820;2828;2827;2831;2854;2892;2892;2706;2928;3123;3324;3491
Croatia;4395;4356;4318;4280;4243;4205;4168;4132;4863;5271;4871;4997;4549;5159;5376;5644;5469;6325;6531;7264;7651;7916;7984;8730;9476;9636;10057;10141;10267;11324;11777;13019;13345;13674;15299;15162;15482;16453;17208;18232;18996;19215;19228;19282;19659;19711;20412;20085;19712;19374;17890;14020;12269;11182;11764;12543;13797;14463;14965;14652;15644;16130;16977;17920;18656;19420;20358;21426;21873;20283;19989;20571;20183;20049;20060;20260
Cuba;4631;6198;5177;5709;6523;7174;7720;8724;7645;8193;8630;9245;9446;8192;8492;8757;9424;10636;10501;9234;9213;9248;9273;9244;9179;9116;9436;10372;9626;9377;8918;9471;9745;10439;10805;11176;11334;11712;12312;12519;12284;13224;13421;13669;14019;14135;14025;13805;13925;13829;13670;12113;10637;9001;9018;9195;9871;10106;10086;10674;11268;11588;11715;12123;12791;14200;15901;17055;17765;18035;18477;19005;19586;20122;20704;21291
Cyprus;3376;3411;3447;3483;3519;3556;3593;3631;3668;3707;3745;3899;4058;4224;4397;4577;4764;4959;5161;5372;5592;5820;6058;6306;6563;6831;7110;7400;7702;8017;8344;9415;10088;10394;10200;8574;10217;11852;12722;13897;14582;14858;15638;16279;17500;18130;18626;19748;21185;22598;23802;23366;24891;24467;25380;26445;26450;26704;27721;28698;30005;30745;31373;31858;32812;33592;34528;35455;35828;34166;33747;32983;31710;30081;29673;29797
Czech Republic;6786;6831;6876;6921;6967;7013;7059;7105;7152;7550;8110;8166;8339;8217;8468;9096;9535;10023;10699;11095;11860;12223;12318;12009;12482;12857;13342;13864;14467;14774;15038;15487;15954;16382;16853;17220;17366;18025;18127;18171;18586;18426;18738;18977;19380;19492;19820;19884;20293;20432;19839;17577;17470;17462;17964;19093;19934;19821;19777;20082;21003;21726;22126;22930;24057;25571;27256;28595;29128;27560;28111;28603;28333;28124;28695;29437
Czechoslovakia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;8977;8012;8095;8871;9666;8822;10047;10484;10643;11258;12025;12004;12027;12601;12732;12767;12837;13741;13963;14896;15198;16061;16815;16793;18228;18917;19284;19775;20482;21701;21990;22464;23562;24318;24027;23846;25376;25758;26108;27020;26921;26741;27622;28392;29711;31032;32181;32297;32720;32849;33256;33601;34152;34008;35766;36670;37521;38584;39297;40321;41693;41886;41947;41996;42993;43919;45437;45609;45017;42498;42997;43314;42869;42483;42777;43495
Djibouti;2357;2427;2498;2572;2648;2726;2806;2889;2974;3061;3151;3248;3267;3311;3411;3432;3473;3508;3502;3601;3727;3752;3701;3734;3700;3693;3708;3701;3676;3668;4357;4510;4529;4602;4381;4350;4538;3779;3632;3555;3500;3526;3531;3461;3795;3704;3616;3532;3364;3165;3050;2811;2736;2505;2440;2315;2181;2127;2092;2103;2079;2090;2114;2150;2202;2240;2315;2399;2502;2590;2665;2767;2807;2903;3016;3139
Dominica;1856;1884;1912;1940;1969;1998;2028;2058;2088;2119;2151;2175;2199;2224;2249;2274;2299;2325;2351;2378;2404;2431;2458;2486;2513;2541;2570;2599;2628;2657;2686;2857;3048;3280;3458;3520;3705;3737;4106;3299;3739;4176;4355;4496;4778;4878;5266;5720;6271;6291;6661;6709;6833;6926;7009;7148;7359;7510;7936;8035;8091;8131;7972;8554;8799;8764;9172;9713;10425;10289;10375;10333;10149;10011;10207;10503
Dominican Republic;1737;1766;1797;1828;1859;1891;1923;1956;1990;2024;2058;2242;2358;2262;2321;2390;2550;2627;2681;2612;2655;2514;2851;2943;3044;2586;2848;2859;2784;3004;3234;3484;3816;4172;4306;4407;4595;4710;4712;4807;4988;5081;5062;5176;5085;4857;4903;5169;5104;5645;5278;5222;5657;5949;5973;6188;6514;6918;7283;7649;7955;7974;8307;8162;8147;8772;9568;10233;10408;10363;11075;11241;11391;11790;12505;12837
East Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;2237;2210;2300;2557;2551;2525;2783;3034;3388;3383;3416;3393;3742;3750;3975;3997;4058;4151;4178;4302;4473;4474;4594;4590;4786;5108;5102;5226;5364;5501;5723;5866;6035;6580;6752;6891;7330;7560;7844;8023;8145;8231;8083;7689;7777;7880;7887;7189;7739;7540;7542;7685;7672;7652;7805;7811;7781;7951;8045;7511;7444;7593;7753;7814;8300;8582;8802;8840;9244;9143;9311;9882;10233;10541;10774;10996
