GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Malaysia;2344;2277;3084;2828;2593;2377;2179;1997;2218;2872;2933;2715;2780;2726;2827;2776;2868;2776;2702;2811;2937;3061;3152;3220;3338;3491;3578;3552;3774;3902;4051;4252;4468;5000;5255;5182;5699;6028;6414;6785;7183;7517;7779;8065;8488;8198;8101;8333;8860;9476;10159;10832;11491;12309;13107;14035;15051;15749;14231;14748;15695;15443;15950;16550;17342;17929;18582;19394;19968;19320;20398;21096;21920;22589;23579;24320
Maldives;868;870;871;873;874;876;877;879;880;882;883;904;925;947;969;992;1016;1039;1064;1089;1114;1140;1167;1194;1222;1251;1280;1310;1341;1372;1404;1446;1449;1439;1486;1334;1309;1418;1584;1706;1968;2141;2020;2284;2817;3091;3279;3461;3648;3866;4363;4555;4699;4850;5037;5264;5602;6120;6564;6950;7134;7247;7540;8452;9511;8619;10157;11040;12029;11096;11674;12694;12637;13353;14095;14408
Mali;641;642;643;644;644;645;646;647;648;648;649;660;672;684;695;707;719;732;744;757;764;754;744;779;799;795;811;821;834;813;844;855;880;839;801;891;990;1043;1003;1227;1068;1016;943;969;996;1001;1047;1048;1028;1113;1100;1095;1159;1106;1087;1126;1132;1178;1217;1265;1269;1382;1397;1456;1442;1483;1560;1576;1602;1622;1664;1658;1603;1589;1653;1684
Malta;2356;2378;2400;2422;2444;2466;2489;2512;2535;2558;2582;2605;2629;2653;2678;2702;2727;2752;2777;2803;2828;2860;2767;2773;2830;3015;3325;3541;3885;4121;4631;4780;5080;5574;6092;7201;8275;9040;9767;10563;11200;11566;11912;11996;12324;12888;13253;13660;14683;15750;16596;17459;18100;18732;19616;20720;21373;22344;23347;24330;25841;24685;25191;25059;24766;25510;25983;27001;27872;26888;27906;28178;28271;28822;29508;30265
Marshall Islands;1082;1107;1133;1160;1187;1215;1244;1273;1303;1334;1365;1398;1430;1464;1498;1534;1570;1607;1644;1683;1723;1763;1804;1847;1890;1935;1980;2026;2074;2123;2172;2223;2275;2329;2567;2464;2383;2360;2412;2380;2125;2169;2139;2378;2332;2167;2531;2733;2862;2776;2950;2881;3030;3169;3321;3562;3172;2950;2854;2777;2936;3092;3174;3183;3183;3272;3333;3454;3378;3316;3514;3510;3672;3776;3638;3661
Martinique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauritania;1068;1079;1090;1102;1113;1125;1137;1148;1160;1172;1184;1224;1264;1304;1345;1388;1431;1474;1516;1561;1672;1941;1882;1752;2254;2542;2531;2592;2791;2717;2964;2957;2958;2739;2981;2753;2932;2852;2797;2879;2942;2998;2881;2962;2692;2710;2800;2822;2861;2899;2800;2772;2745;2824;2660;2838;2916;2717;2711;2834;2738;2709;2646;2721;2792;2955;3413;3412;3356;3233;3299;3357;3470;3579;3718;3877
Mauritius;2140;2170;2201;2232;2264;2296;2329;2362;2395;2429;2464;2519;2512;2518;2579;2584;2596;2620;2621;2702;2800;3352;3288;3679;3334;3359;3168;3247;2973;3080;3023;3133;3408;3797;4155;4110;4720;4954;5061;5153;4560;4760;4965;4942;5132;5447;5944;6493;6883;7128;7568;7819;8219;8535;8764;9062;9471;9885;10375;10512;11349;11549;11711;12052;12665;12747;13188;13901;14615;15020;15599;16179;16651;17146;17731;18350
Mayotte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico;3165;3391;3492;3530;3725;3744;3892;3923;3981;4094;4392;4601;4647;4522;4840;5107;5305;5549;5678;5679;5970;6082;6181;6486;7045;7283;7559;7795;8183;8441;8757;8810;9253;9694;9960;10234;10391;10456;11118;11912;12716;13501;13126;12384;12546;12562;11923;11894;11817;12079;12479;12738;12925;13172;13516;12491;12979;13634;14033;14177;14704;14411;14243;14268;14700;14961;15516;15805;15826;14893;15460;15887;16320;16346;16496;16850
Micronesia, Fed. Sts.;954;973;993;1013;1033;1054;1076;1097;1120;1142;1165;1189;1213;1238;1263;1288;1314;1341;1368;1395;1424;1452;1482;1512;1542;1573;1605;1637;1670;1704;1738;1760;1774;2377;2735;2709;2667;2662;2726;2692;2417;2565;2418;2392;2229;2529;2663;2656;2756;2715;2763;2894;2933;3094;3016;3185;3063;2873;2966;3018;3167;3230;3256;3320;3220;3301;3312;3262;3197;3243;3337;3412;3428;3286;3475;3510
Moldova;2072;2030;1989;1949;1910;1872;1834;2035;2296;2504;2708;2670;2791;2859;2943;3134;3369;3373;3558;3451;3706;3847;3885;3738;4162;4342;4499;4646;4868;4887;5212;5295;5270;5656;5765;5727;5941;6027;6124;6044;6002;6008;6104;6246;6266;6266;6466;6494;6578;6643;6440;5395;3822;3780;2620;2596;2466;2515;2353;2276;2329;2476;2676;2860;3080;3318;3487;3603;3890;3661;3925;4179;4151;4542;4754;4896
Monaco;9355;9517;9682;9849;10020;10193;10370;10549;10732;10917;11106;11598;12111;12646;13206;13790;14399;15036;15701;16395;17120;17876;18666;19491;20352;21251;22190;23170;24194;25262;26378;27552;28604;30259;31395;30908;32119;33121;34303;35387;35840;36006;36699;36942;37292;37734;38455;39209;40801;42283;43173;43365;43703;43063;43791;44514;44836;45690;47144;48523;50200;50855;51060;51275;52196;52761;54636;60930;59857;53735;54146;58081;58081;57886;61738;63472
Mongolia;805;810;816;821;826;831;837;842;847;853;858;886;919;950;984;1018;1053;1091;1128;1167;1208;1249;1291;1337;1383;1431;1479;1532;1584;1637;1695;1731;1748;1854;1886;1949;1975;2121;2167;2211;2502;2223;2587;2911;3256;3188;3359;3573;3694;3609;5122;4606;4132;3966;4020;4244;4304;4435;4544;4643;4655;4748;4925;5216;5706;6047;6480;7046;7563;7357;7708;8905;9851;10833;11509;11819
Montenegro;3598;3573;3549;3525;3501;3477;3454;3430;4046;4394;4068;4182;3814;4334;4526;4761;4622;5356;5541;6176;6517;6756;6828;7479;8135;8288;8667;8756;8882;9816;10228;11328;11634;11943;13388;13294;13601;14481;15175;16108;16814;17041;17085;17165;17534;17613;18274;18015;17714;17442;16136;14269;10808;6780;6788;7635;9559;9978;10482;9506;9803;9871;10019;10228;10659;11090;12025;13288;14183;13352;13656;14082;13712;14156;14358;14833
Montserrat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morocco;1649;1688;1729;1769;1811;1853;1897;1941;1985;2031;2077;2088;2097;2115;2132;2148;2108;2067;2027;1987;1948;1971;1994;2017;2040;2064;2130;2198;2267;2338;2411;2484;2492;2530;2616;2737;2979;3066;3096;3176;3402;3250;3502;3392;3443;3566;3750;3576;3849;3845;3901;4119;3930;3825;4197;3870;4325;4177;4448;4414;4430;4710;4815;5067;5259;5363;5725;5825;6091;6313;6466;6698;6777;6967;7040;7319
Mozambique;436;437;438;439;440;440;441;442;443;444;445;454;464;473;476;497;492;494;508;526;528;533;559;528;540;542;548;573;623;682;703;734;738;759;683;570;527;515;504;496;499;498;477;437;420;379;383;405;441;461;462;473;435;455;468;465;485;520;562;592;583;634;671;692;732;774;801;835;864;893;930;974;1017;1064;1115;1176
Myanmar;1357;1295;1098;931;789;794;804;813;823;833;842;954;963;977;905;1011;1064;1112;1067;1215;1238;1250;1339;1356;1358;1371;1292;1306;1369;1401;1438;1458;1441;1409;1456;1490;1554;1620;1700;1751;1864;1935;2002;2050;2110;2131;2072;1956;1709;1749;1775;1741;1784;1809;1839;1868;1895;1919;1944;1998;2069;2129;2196;2276;2351;2339;2593;2846;2891;2979;3077;3181;3346;3526;3727;4012
Namibia;3289;3340;3392;3445;3499;3554;3609;3665;3722;3781;3839;3871;3901;3960;4086;4121;4175;4233;4247;4384;4682;4618;5141;5516;6254;6509;6590;6165;6060;6112;5981;5972;6106;6136;6182;6022;6124;6337;6619;6703;6824;6933;6871;6491;6219;6069;6077;6072;5961;6120;5717;5970;6198;5921;5850;5900;5906;5971;5991;6035;6111;6076;6279;6470;7184;7279;7696;8095;8169;8090;8433;8715;8995;9275;9506;10040
Nauru;2850;2978;3113;3253;3399;3552;3712;3879;4053;4236;4426;5030;5716;6496;7383;8390;9534;10835;12312;13992;15900;18069;20533;23333;26515;30130;34239;38908;44213;50241;57091;57651;58255;58928;59703;60605;58213;55977;53855;51777;49699;47624;45567;43533;41518;39538;37601;35725;33929;32233;30647;24303;19946;16430;15564;14177;12418;10988;9952;9308;8671;8076;7257;7261;6936;6097;4897;4925;9657;7920;9523;10879;13071;13568;15227;16686
Nepal;836;833;831;828;825;822;819;817;814;811;808;822;840;881;889;896;925;914;954;968;976;984;991;997;1002;1007;1057;1020;1007;1031;1036;1002;1010;982;1019;1009;1027;1031;1049;1045;994;967;1059;1000;1068;1104;1120;1134;1190;1186;1240;1287;1306;1321;1393;1405;1443;1478;1487;1517;1577;1619;1591;1626;1675;1708;1741;1779;1866;1929;1999;2044;2118;2173;2265;2352
Netherlands;7840;7327;6617;6398;4233;4281;7142;8093;8802;9284;9516;9593;9639;10340;10930;11566;11939;12151;11859;12256;13223;13448;13854;14148;15204;15834;16109;16824;17827;18892;19800;20555;21024;22010;22873;22849;23837;24436;25044;25473;25857;25704;25403;25919;26781;27544;28417;28937;29915;31240;32534;33066;33377;33562;34348;35244;36152;37414;38816;40306;41771;42130;41848;41761;42389;43243;44823;46605;47388;45590;45843;46388;45484;45021;45281;45784
Netherlands Antilles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Caledonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand;10673;10387;11465;11753;11657;11765;12166;13336;11782;12794;14391;13032;13281;13388;14907;14883;15358;15441;15688;16454;16179;16664;16646;17340;17837;18632;19467;18309;18082;19745;19200;19871;20349;21342;22131;21467;21749;20623;20707;21144;21259;22191;22436;22808;23698;23750;24180;24222;24060;24206;24021;22636;22651;23830;24716;25476;25984;26152;26077;27371;27963;28752;29637;30404;31098;31798;32281;32928;32122;31723;31824;32283;32806;33360;33538;34186
Ngorno-Karabakh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicaragua;3019;3261;3065;3282;3175;3118;3278;3184;3389;3228;3527;3651;4140;4110;4356;4503;4360;4580;4450;4373;4292;4466;4793;5143;5559;5892;5890;6097;5981;6173;6031;6120;6128;6249;6914;6680;6796;7137;6433;4575;4577;4658;4493;4593;4390;4112;3934;3808;3295;3159;3025;2948;2888;2807;2833;2934;3057;3117;3175;3342;3424;3474;3452;3493;3632;3740;3846;3998;4060;3896;3966;4154;4304;4432;4574;4712
Niger;883;891;899;907;916;924;932;941;949;958;967;989;1011;1032;1054;1077;1099;1121;1144;1167;1220;1248;1355;1461;1437;1517;1469;1448;1432;1362;1376;1426;1325;1077;1148;1093;1077;1135;1260;1320;1353;1337;1291;1237;1004;997;1018;958;988;965;924;918;830;814;818;811;809;802;854;819;778;804;798;811;782;788;804;799;843;806;841;828;891;897;923;943
Nigeria;2254;2298;2343;2389;2436;2483;2532;2581;2631;2683;2735;2843;2971;2981;3141;3106;2975;2975;3090;3151;3810;3551;3585;3788;3803;3524;3252;2666;2610;2988;3483;3889;3928;4042;4381;4044;4288;4415;4040;4192;4250;3598;3474;3221;3081;3258;2901;2526;2650;2753;3030;2936;2875;2863;2817;2740;2805;2813;2818;2761;2836;2888;2922;3144;4098;4130;4353;4528;4684;4874;5114;5217;5291;5423;5607;5727
Niue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norfolk Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norway;8349;8519;8151;7944;7475;8308;9069;10196;10804;11002;11452;11986;12316;12707;13247;13438;14054;14379;14285;14797;15542;16425;16793;17347;18118;18980;19588;20686;21022;21845;22186;23239;24308;25278;26252;27553;29117;30319;31348;32737;34346;34659;34704;35932;38057;40031;41450;42225;42101;42449;43296;44419;45742;46765;48850;50616;52892;55386;56502;57246;58699;59620;60152;60351;62370;63573;64573;65781;65216;63354;62946;62737;63620;63322;64020;64304
Oman;2525;2570;2616;2662;2709;2757;2806;2856;2907;2958;3010;3148;3293;3445;3599;3759;3930;4101;4288;4470;4654;4611;5428;5539;5419;5322;5472;8890;15768;19335;19472;19104;20283;16951;18360;22184;23966;22951;21418;21258;21463;23905;25439;28410;31842;34967;34510;36053;35924;36220;35076;35728;37147;37882;38131;39194;39990;42370;43621;43544;45472;46523;44628;41970;41220;41270;42933;44585;47799;49393;49188;45081;44060;41770;48201;48226
Pakistan;1349;1358;1337;1375;1345;1309;1226;1219;1218;1233;1176;1112;1091;1167;1167;1166;1171;1193;1180;1164;1191;1231;1286;1332;1396;1421;1497;1513;1577;1636;1758;1721;1690;1765;1781;1811;1864;1897;2002;2018;2155;2242;2333;2421;2458;2603;2689;2761;2853;2908;2961;3026;3174;3148;3183;3255;3324;3270;3266;3303;3366;3362;3405;3506;3698;3910;4076;4194;4187;4227;4220;4261;4337;4454;4619;4743
Palau;5196;5495;5812;6146;6500;6874;7270;7688;8131;8599;9093;9616;10170;10755;11373;12027;12719;13450;14223;15041;15905;16820;17786;18808;19889;21032;22240;23517;24868;26296;27806;26834;29574;35341;50678;53033;38702;36923;37331;33763;18154;16041;16263;15709;15695;13936;13607;13231;15764;16131;16913;15886;14474;12343;12882;13913;14978;14961;14930;13859;12894;13412;14242;13489;14363;14644;14298;14231;13492;11974;12113;13034;13532;13153;14078;14315
Panama;3299;3337;3375;3414;3453;3493;3564;3640;3350;3362;3172;3066;3149;3264;3303;3407;3496;3766;3719;3853;3970;4274;4502;4788;4852;5128;5352;5634;5873;6153;6345;6676;6843;7076;7046;6992;6941;6833;7372;7529;8486;8659;8957;8839;8624;8847;8954;8995;7445;7272;7463;7997;8476;8757;8823;8795;8857;9237;9713;9889;9954;9814;9836;10053;10605;11156;11886;13087;14033;14339;14921;16254;17627;18793;19637;20485
Papua New Guinea;898;904;910;916;922;929;935;941;947;954;960;975;989;1004;1020;1035;1051;1067;1083;1099;1116;1165;1217;1243;1324;1431;1484;1512;1545;1636;1774;1844;1904;1982;1989;1928;1824;1801;1915;1908;1822;1774;1736;1747;1697;1720;1756;1760;1767;1699;1607;1717;1907;2198;2270;2139;2245;2101;1969;1953;1856;1806;1758;1752;1756;1822;1819;1903;1982;2055;2163;2341;2476;2558;2510;2529
Paraguay;3364;3338;3449;3438;3428;3230;3465;2940;2904;3312;3013;2988;2858;2861;2832;2882;2925;2981;3067;2979;2928;2987;3113;3114;3163;3256;3203;3315;3339;3375;3487;3539;3618;3785;3977;4113;4284;4632;5022;5449;6087;6437;6038;5686;5692;5743;5566;5637;5825;5983;5985;6037;5988;6132;6306;6582;6536;6665;6527;6303;6031;5860;5742;5873;5994;6007;6180;6398;6684;6306;7008;7186;6975;7833;8038;8219
Peru;3948;3854;3672;3638;3853;3898;3951;3964;3997;4197;4419;4614;4701;4843;4821;5016;5076;5155;5007;4871;5366;5652;5875;5947;6155;6360;6681;6733;6459;6425;6719;6828;6853;7016;7186;7548;7452;7255;7067;7298;7443;7582;7437;6303;6449;6432;6923;7356;6609;5681;5280;5290;5160;5329;5875;6198;6260;6551;6418;6411;6485;6433;6693;6883;7137;7499;7975;8563;9249;9246;9915;10429;10913;11395;11514;11903
Philippines;2595;2256;1961;1705;1482;1289;1120;1519;1725;1782;1864;2006;2069;2190;2287;2376;2470;2529;2542;2637;2597;2663;2708;2814;2825;2886;2926;2992;3051;3104;3132;3212;3296;3494;3524;3624;3840;3947;4041;4154;4251;4295;4347;4333;3928;3559;3598;3670;3834;3982;4010;3891;3813;3804;3882;3973;4112;4230;4115;4151;4243;4275;4340;4465;4672;4804;4967;5205;5332;5304;5614;5721;6005;6326;6598;6876
Pitcairn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poland;3696;3377;2978;2808;1809;1875;3203;3715;4134;4458;4670;4801;4832;5027;5224;5386;5530;5730;5923;6009;6248;6669;6511;6836;7078;7409;7818;8044;8473;8331;8705;9256;9854;10504;11020;11430;11605;11713;12033;11703;11307;10610;10420;10835;11138;11159;11429;11207;11418;11212;10088;9347;9553;9884;10386;11093;11776;12602;13225;13824;14565;14744;14964;15508;16314;16900;17959;19254;19996;20507;21328;22333;22740;23144;23952;24787
Portugal;2987;3231;3160;3341;3501;3337;3567;3831;3787;3806;3862;4013;4002;4256;4433;4585;4751;4928;4954;5180;5481;5786;6179;6503;6902;7413;7733;8324;9056;9269;10175;10920;11826;13148;13125;12142;12700;13361;13691;14430;15016;15153;15467;15426;15121;15533;16165;17189;18473;19424;20282;21216;21464;21000;21146;21975;22658;23555;24560;25371;26147;26468;26526;26180;26590;26744;27111;27732;27747;26895;27393;26932;25953;25677;26055;26437
Puerto Rico;4122;4214;4307;4402;4499;4598;4700;4804;4910;5018;5129;5277;5603;5913;6129;6342;6800;7107;7188;7758;8194;8809;9297;10065;10545;11308;11967;12616;13095;14000;15220;15924;16616;17507;17376;16656;17008;17799;18751;19579;19623;19654;18822;18699;19864;20081;21522;22375;23622;24572;25275;25311;26169;26949;27764;28629;29129;29770;31597;32088;32484;35607;36192;36600;37237;37503;37327;36298;35855;35199;34454;34121;33580;33818;33649;33604
Qatar;1097;1088;1079;1070;1061;1073;1084;1096;1108;1343;1628;1973;2486;3132;3945;4970;6261;7888;9937;12518;15769;19865;25024;31524;39711;50024;63016;79381;99995;125963;158673;160147;162805;165564;162379;160783;164858;145688;150718;148451;134862;122762;102308;90054;85422;76910;75482;71067;71568;73074;73402;70806;77977;76440;76944;77809;79461;100111;107276;107741;112238;112539;117133;115622;126335;119134;127563;126364;126076;122655;127984;133734;130990;131579;133563;132877
Reunion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romania;3254;3153;3054;2957;2862;2769;2678;2589;2502;3034;3676;3933;4202;4475;4773;5062;5235;5417;5611;5829;6052;6429;6637;7087;7512;7959;8836;9190;9193;9492;9602;10824;11396;11648;12166;12563;13062;13207;13507;13769;13705;13523;13452;13281;13759;13673;13836;13471;13367;12872;11449;10059;9253;9406;9794;10516;10969;10329;9855;9752;9970;10684;11429;12105;13286;13941;15246;16442;18032;16947;16888;17363;17502;18182;18569;19203
Russia;5632;5530;5430;5331;5235;5140;5047;5611;6343;6932;7514;7424;7775;7981;8234;8787;9465;9496;10037;9755;10496;10908;11027;10620;11836;12363;12823;13256;13902;13972;14915;15170;15113;16236;16594;16530;17192;17487;17818;17632;17557;17619;17951;18417;18527;18576;19221;19355;19660;19906;19349;18332;15661;14320;12535;12013;11597;11779;11173;11925;13173;13902;14629;15768;16967;18118;19660;21374;22506;20739;21664;22570;23299;23561;23293;23038
Rwanda;517;518;519;519;520;521;522;522;523;524;525;544;551;560;580;586;595;604;607;627;631;601;669;588;506;528;549;572;596;642;691;679;662;663;675;777;740;752;798;846;920;948;990;1014;945;962;989;953;892;884;856;863;973;965;509;695;749;781;768;754;764;796;880;879;928;973;1038;1087;1173;1210;1262;1324;1400;1426;1485;1549
St. Barthélemy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Helena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Kitts and Nevis;3013;3049;3085;3122;3159;3196;3234;3273;3311;3351;3390;3430;3471;3512;3554;3596;3638;3681;3725;3769;3813;3858;3904;3950;3996;4043;4091;4139;4188;4237;4287;4601;4839;5034;5309;5453;5804;6196;6689;7348;7994;8124;8032;7992;8868;9496;10692;11726;12890;13940;14258;14253;14600;15395;15979;16362;17231;18190;18189;18904;19086;19746;19801;18995;19565;21064;21997;22327;22961;21416;20479;20582;20098;20620;21688;21896
St. Lucia;1343;1349;1355;1362;1368;1375;1382;1388;1395;1401;1408;1468;1530;1596;1663;1734;1808;1885;1965;2049;2136;2227;2321;2420;2523;2630;2742;2858;2979;3106;3238;3367;3425;3448;3613;3734;4381;4724;5010;5077;4728;4789;4873;5084;5365;5689;6545;6616;7436;7861;7979;8077;8536;8655;8677;8854;9213;9125;9574;9673;9980;9507;9413;9771;10455;10158;10858;10636;10843;10759;10515;10535;10275;10152;9917;9997
St. Martin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Vincent and the Grenadines;1988;2004;2021;2038;2054;2071;2089;2106;2123;2141;2158;2229;2301;2376;2454;2534;2616;2701;2789;2880;2974;3059;3127;2893;2963;2953;2919;2611;2749;2795;3059;3112;3867;3394;3056;2789;3041;3090;3419;3495;3529;3710;3853;3988;4185;4397;4640;4796;5434;5507;5726;5745;6166;6170;5983;6044;6127;6945;7310;7635;7571;7693;8168;8779;9126;9337;10038;10357;10517;10287;9935;9883;9997;10177;10131;10435
St.-Pierre-et-Miquelon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samoa;2650;2681;2712;2744;2776;2808;2841;2874;2908;2942;2976;3011;3046;3081;3117;3153;3190;3227;3264;3302;3341;3379;3419;3458;3498;3539;3580;3621;3663;3706;3748;3792;3836;3880;3433;3273;3548;3493;3686;4149;3879;3517;3471;3477;3512;3636;3818;3815;3736;3847;3649;3539;3500;3608;3483;3686;3925;3929;3997;4066;4326;4601;4773;4958;5155;5335;5406;5711;5731;5418;5405;5675;5654;5502;5525;5558
San Marino;4893;5153;5428;5718;6022;6343;6681;7038;7413;7808;8224;8662;9123;9609;10121;10660;11228;11825;12455;13118;13817;14552;15327;16142;17001;17906;18859;19862;20919;22032;23203;23435;24202;25868;27188;26414;27950;28214;28618;29788;30324;30153;29887;29884;30499;31004;31535;32185;33173;33914;34215;34302;34112;36612;38698;41846;43518;44268;47258;51019;51350;53121;51953;52589;53723;53928;55241;56644;54401;47221;44525;43092;41105;39209;39614;40075
Sao Tome and Principe;1153;1157;1162;1167;1171;1176;1181;1185;1190;1195;1199;1198;1199;1202;1254;1129;1194;1186;1302;1169;1296;1397;1493;1586;1675;1759;1865;1949;2031;2115;2196;2267;2276;2272;2354;2426;2403;2883;2883;3266;3157;2777;2817;2668;2469;2653;2451;2330;2327;2350;2254;2235;2207;2190;2196;2197;2186;2164;2174;2186;2157;2188;2191;2291;2341;2321;2546;2524;2673;2701;2743;2801;2837;2876;2923;3003
Saudi Arabia;969;1002;1036;1071;1107;1145;1184;1371;1587;1838;2128;2465;2854;3305;3827;4432;5132;5942;6881;7968;9226;10684;12371;14325;16587;19207;22240;25752;29819;34527;39979;47016;52961;56842;89417;68111;80328;77548;71169;69720;72465;67447;55569;49634;44693;36344;35239;32136;32091;32281;35681;37688;38237;37182;36526;35870;36531;37060;37671;36746;37531;36387;34875;35859;37556;38892;39958;41464;44189;44276;45598;49230;50916;51294;52096;52469
Senegal;1405;1436;1468;1501;1534;1568;1603;1639;1675;1712;1750;1784;1816;1848;1880;1912;1943;1975;2005;2035;2032;2076;2096;2127;2118;2137;2135;2054;2127;1934;2041;1979;2046;1876;1899;1996;2129;2011;1874;1946;1826;1758;1965;1955;1810;1823;1855;1875;1914;1828;1856;1846;1813;1782;1731;1774;1764;1774;1834;1904;1916;1953;1915;1988;2049;2106;2099;2143;2162;2153;2182;2163;2174;2185;2206;2251
Serbia;4182;4133;4084;4036;3989;3942;3895;3849;4517;4881;4496;4598;4173;4718;4901;5129;4955;5712;5879;6518;6843;7057;7096;7733;8367;8481;8823;8867;8948;9837;10197;11234;11477;11721;13070;12910;13138;13914;14503;15313;15900;16028;15983;15972;16228;16214;16732;16406;16043;15712;14457;13278;9531;6622;6786;7167;7348;7899;8121;7161;7741;8141;8725;9134;9983;10568;11130;11833;12522;12180;12301;12572;12505;12889;12717;12908
Serbia and Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serbia excluding Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seychelles;3346;3472;3602;3737;3877;4023;4174;4330;4492;4661;4836;5106;5186;5275;5503;5482;5428;5540;5576;5715;6003;5520;5851;6240;6318;6184;6185;6051;6410;6242;6536;7402;7665;8204;8154;8277;8930;9401;9898;11366;10894;10311;10099;10039;10411;11392;11409;11470;12038;13200;14116;14351;15185;15893;15507;15097;15609;17272;18361;18341;18453;18018;17693;16832;16412;17803;19086;20968;20065;19765;20364;22556;23685;24805;25038;25684
Sierra Leone;1100;1096;1093;1089;1086;1082;1079;1075;1072;1068;1064;1105;1119;1140;1183;1202;1224;1246;1257;1303;1319;1317;1349;1345;1333;1399;1458;1419;1526;1630;1650;1601;1549;1563;1591;1600;1515;1500;1467;1513;1544;1598;1582;1518;1497;1415;1327;1356;1352;1341;1334;1361;1109;1135;1124;1041;1061;996;1006;969;1006;900;1087;1133;1154;1158;1185;1249;1289;1304;1347;1400;1582;1865;1959;2085
Singapore;5284;5260;5235;5211;5186;5160;5134;5108;5081;5055;5027;4753;3312;3963;4553;4198;4629;4116;4134;4656;4990;5520;5372;5722;5613;6141;6659;7331;8209;9207;10336;11389;12711;13889;14499;14743;15590;16589;17799;19252;20882;21889;22467;24095;25649;25245;25812;27957;30453;32597;34316;35583;36978;40213;43231;44884;46342;48528;45863;48271;51663;49809;51435;54515;58977;61921;65331;68375;65991;63644;72056;74949;75630;77721;78958;80794
Slovak Republic;5015;5046;5077;5108;5140;5172;5203;5236;5268;5558;5969;6007;6132;6040;6222;6681;7000;7356;7849;8136;8693;8955;9022;8792;9135;9405;9756;10134;10570;10790;10978;11302;11638;11945;12284;12546;12647;13122;13191;13217;13514;13392;13613;13781;14068;14144;14376;14416;14707;14802;14366;12223;11364;11536;12204;12879;13720;14525;15085;15039;15242;15778;16528;17433;18351;19549;21162;23416;24670;23334;24438;25066;25424;25759;26355;27204
