Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Burundi;383.38;382.2;381;379.82;378.63;377.45;360.3;343.75;327.73;313.22;305.71;298.37;291.21;284.23;277.41;270.75;264.25;257.91;251.73;245.69;244.57;243.56;242.55;241.83;241.6;243;244.5;245.8;246.7;247.3;247.6;247.5;247.3;247.1;246.9;246.5;245;242;236.9;230.2;221.8;212.3;202.3;192.6;184.2;177.5;172.9;170.6;170.1;170.7;171.8;172.9;173.5;173.5;172.5;170.5;167.7;164.4;160.5;156.4;152.2;147.8;143.2;138.3;133;127.1;120.9;114.5;108.6;103.5;98.8;94.9;91.2;87.8;84.6;81.7
Cambodia;346.69;345.83;344.97;344.1;343.24;342.38;330.74;320.44;309.3;299.44;288.78;287.06;283.41;280.4;277.04;274.27;271.16;267.71;263.9;260.13;256.38;252.61;247.97;243.33;238.67;234.01;232.31;230.62;228.95;227.29;225.64;240.44;256.21;273.01;290.92;310;285.6;261.9;235.9;207.8;181.4;159.1;142;130.4;124.1;121.2;119.6;118.4;117.6;117.4;117.3;117.4;117.8;118.6;120;121.5;122.6;122.5;120.4;115.7;108.3;98.7;88.3;78.8;71.3;65.4;60.4;55.8;51.5;47.3;43.1;39.3;35.8;32.9;30.6;28.7
Cameroon;421.83;420.82;419.81;418.8;417.8;411.45;405.19;399.03;392.97;387;381.11;375.32;369.62;364;349.6;335.6;322.8;310.6;299.5;289.8;281.9;275.6;270.7;267;262.8;257.6;250.7;242.1;232.4;222.4;212.8;204.5;198.2;194;191.9;191;190.7;190.1;188.6;185.8;181.9;176.5;170.2;163.4;156.4;149.8;144.2;139.8;136.9;135.8;136.2;138.2;140.9;144;147.1;150;152.2;153.5;153.6;152.3;149.2;144.9;139.8;134.7;129.7;125.3;121.2;117.6;113.8;109.9;106;102.2;98.7;95.2;91.7;88.7
Canada;77.01;79.81;72.35;69.4;67.92;60.6;60.52;59.16;53.24;51.3;48.7;46.2;43.9;41.8;39.9;38.3;37;35.8;34.7;33.7;32.6;31.6;30.5;29.4;28.2;27.1;26;25;23.9;23;22;21;19.9;19;18;17;16;15.1;14.2;13.3;12.5;11.8;11.2;10.6;10.1;9.7;9.4;9.1;8.8;8.6;8.3;8;7.7;7.4;7.2;6.9;6.7;6.5;6.4;6.3;6.2;6.2;6.2;6.1;6.1;6.1;6;5.9;5.8;5.7;5.6;5.4;5.3;5.2;5;4.9
Cape Verde;311.12;301.26;291.59;281.13;271.84;262.74;252.88;244.13;235.55;226.26;218.01;216.69;215.37;213.79;211.11;208.99;206.61;203.15;200.24;197.35;195.44;193.56;191.69;189.84;188;186.19;184.39;182.61;180.85;179.1;164.3;150.7;138.5;127.6;118;109.5;102.3;96.3;91.4;87.7;85.2;83.7;82.6;81.6;80.2;78;75.1;71.8;68.2;65.1;62.8;61.2;60.3;59.6;58.6;56.6;53.5;49.3;44.3;39.4;35.2;31.8;29.5;28.3;27.7;27.7;28;28.3;28.4;28.3;27.9;27.3;26.6;25.9;25.1;24.3
Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;420.66;420.33;419.99;419.66;419.32;418.98;418.64;409.49;401.7;392.78;381.22;370;359.11;348.53;338.27;328.31;318.64;309.25;300.14;291.3;285.8;280.2;274.1;268;261.6;254.7;247.7;240.8;234.2;228.1;222.3;216.7;211.7;207.1;203;199.1;195.5;192.1;188.7;185.8;183.3;181.1;179.6;178.5;177.8;177.4;177.2;176.9;176.7;176.5;176.3;175.9;175.8;175.9;176.2;176.6;177;176.9;176.4;175.7;174.8;173.4;172;170.5;168.5;166.5;164.2;161.7;158.8;155;150.9;146.6;142.3;138.6;134.4;130.5
Chad;390;388.51;387.04;385.57;384.09;382.63;370.79;358.11;346.85;335.84;324.05;321.77;318.45;313.75;309.71;304.3;298.54;293.46;287.1;280.8;279.02;277.25;275.49;273.75;272.01;270.28;268.57;266.86;265.17;263.48;259.62;255.96;252.3;251;249.5;248.1;246.7;245.3;243.7;242;240.1;238.1;236;233.5;230.9;228.2;225.5;222.8;220.1;217.3;214.6;212;209.4;207;204.8;202.7;200.6;198.3;195.8;193;190.2;187.3;184.6;181.9;179.4;177;174.6;171.5;168;164;160.1;156;151.6;147.1;142.9;138.7
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.13;22.39;21.67;21;20.38;19.8;19.26;18.73;18.2;17.67;17.15;16.64;16.16;15.7;15.28;14.89;14.51;14.12;13.74;13.34;12.93;12.51;12.08;11.66;11.26;10.88;10.54;10.24;9.97;9.75;9.57;9.41;9.27;9.13;9;8.87
Chile;353.14;325.58;317.45;315.84;294.57;299.5;260.48;262.19;237.3;251.81;238.67;229.78;220.97;212.7;204.72;197.04;189.65;182.54;175.69;169.1;157.3;148.5;142.3;135.8;126.8;115.9;104.5;94.1;86.2;81.7;79.6;78.4;77;74.6;70.6;64.7;57.1;48.8;41.7;36.8;33.2;30.1;27;24.6;23.1;22.4;22.1;21.9;21.4;20.4;19.1;17.7;16.4;15.1;14;13.1;12.5;12.2;12;11.5;10.9;10.3;9.8;9.5;9.3;9.1;9;8.9;8.9;8.8;8.8;8.7;8.6;8.4;8.3;8.1
